2019-09-23 10:19:36 status half-installed libudev1:armhf 237-3ubuntu10
2019-09-23 10:19:36 status unpacked libudev1:armhf 237-3ubuntu10
2019-09-23 10:19:36 status unpacked libudev1:armhf 237-3ubuntu10
2019-09-23 10:19:36 install libuuid1:armhf <none> 2.31.1-0.4ubuntu3
2019-09-23 10:19:36 status half-installed libuuid1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:36 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:36 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:36 install libzstd1:armhf <none> 1.3.3+dfsg-2ubuntu1
2019-09-23 10:19:36 status half-installed libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2019-09-23 10:19:36 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2019-09-23 10:19:37 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2019-09-23 10:19:37 install login:armhf <none> 1:4.5-1ubuntu1
2019-09-23 10:19:37 status half-installed login:armhf 1:4.5-1ubuntu1
2019-09-23 10:19:37 status unpacked login:armhf 1:4.5-1ubuntu1
2019-09-23 10:19:37 status unpacked login:armhf 1:4.5-1ubuntu1
2019-09-23 10:19:37 install lsb-base:all <none> 9.20170808ubuntu1
2019-09-23 10:19:37 status half-installed lsb-base:all 9.20170808ubuntu1
2019-09-23 10:19:37 status unpacked lsb-base:all 9.20170808ubuntu1
2019-09-23 10:19:37 status unpacked lsb-base:all 9.20170808ubuntu1
2019-09-23 10:19:37 upgrade mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-09-23 10:19:37 status half-configured mawk:armhf 1.3.3-17ubuntu3
2019-09-23 10:19:37 status unpacked mawk:armhf 1.3.3-17ubuntu3
2019-09-23 10:19:37 status half-installed mawk:armhf 1.3.3-17ubuntu3
2019-09-23 10:19:37 status half-installed mawk:armhf 1.3.3-17ubuntu3
2019-09-23 10:19:37 status unpacked mawk:armhf 1.3.3-17ubuntu3
2019-09-23 10:19:37 status unpacked mawk:armhf 1.3.3-17ubuntu3
2019-09-23 10:19:38 install mount:armhf <none> 2.31.1-0.4ubuntu3
2019-09-23 10:19:38 status half-installed mount:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:38 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:38 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:38 install ncurses-base:all <none> 6.1-1ubuntu1
2019-09-23 10:19:38 status half-installed ncurses-base:all 6.1-1ubuntu1
2019-09-23 10:19:38 status unpacked ncurses-base:all 6.1-1ubuntu1
2019-09-23 10:19:38 status unpacked ncurses-base:all 6.1-1ubuntu1
2019-09-23 10:19:38 install ncurses-bin:armhf <none> 6.1-1ubuntu1
2019-09-23 10:19:38 status half-installed ncurses-bin:armhf 6.1-1ubuntu1
2019-09-23 10:19:38 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
